window-event,window-open,indoor-temp,time,outdoor-temp
False,False,74.12,150543,69.8
False,False,74.12,150543,69.8
False,False,74.3,150544,69.8
False,False,74.3,150545,69.8
False,False,74.48,150546,69.8
False,False,74.48,150547,69.8
False,False,74.48,150548,69.8
False,False,74.66,150549,69.8
False,False,74.84,150550,69.8
False,False,74.84,150551,69.8
False,False,74.84,150552,69.8
False,False,74.84,150553,69.8
False,False,75.02,150554,69.8
False,False,75.02,150555,70.52
False,False,75.02,150556,70.52
False,False,75.02,150557,70.52
False,False,75.02,150558,70.52
False,False,75.2,150559,70.52
False,False,75.38,150560,70.52
False,False,75.2,150561,70.52
False,False,75.38,150562,70.52
False,False,75.2,150563,70.52
False,False,75.2,150564,70.52
False,False,75.02,150565,70.52
False,False,75.02,150566,70.52
False,False,75.02,150567,70.52
False,False,75.02,150568,70.52
False,False,74.84,150569,70.52
False,False,74.84,150570,70.88
False,False,74.84,150571,70.88
False,False,74.84,150572,70.88
False,False,74.84,150573,70.88
False,False,74.84,150574,70.88
False,False,74.84,150575,69.25999999999999
False,False,74.66,150576,69.25999999999999
False,False,74.84,150577,69.25999999999999
False,False,74.66,150578,69.25999999999999
False,False,74.66,150579,69.25999999999999
False,False,74.84,150580,69.25999999999999
False,False,74.84,150581,69.25999999999999
False,False,74.84,150582,69.25999999999999
False,False,74.66,150583,69.25999999999999
False,False,74.66,150584,69.25999999999999
False,False,74.66,150585,70.16
False,False,74.66,150586,70.16
False,False,74.66,150587,70.16
False,False,74.84,150588,70.16
False,False,74.84,150589,70.16
False,False,74.84,150590,70.16
False,False,74.84,150591,70.16
False,False,74.84,150592,70.16
False,False,74.84,150593,70.16
False,False,74.84,150594,70.16
False,False,74.84,150595,70.16
False,False,74.84,150596,70.16
False,False,74.84,150597,70.16
False,False,74.84,150598,70.16
False,False,74.84,150599,70.16
False,False,74.84,150600,69.62
False,False,74.84,150601,69.62
False,False,74.84,150602,69.62
False,False,75.02,150603,69.62
False,False,75.02,150604,69.62
False,False,75.2,150605,69.62
False,False,75.2,150606,69.62
False,False,75.02,150607,69.62
False,False,75.2,150608,69.62
False,False,75.02,150609,69.62
False,False,75.02,150610,69.62
False,False,75.02,150611,69.62
False,False,75.02,150612,69.62
False,False,75.02,150613,69.62
False,False,75.02,150614,69.62
False,False,75.02,150615,68.36
False,False,75.2,150616,68.36
False,False,75.2,150617,68.36
False,False,75.2,150618,68.36
False,False,75.2,150619,68.36
False,False,75.2,150620,68.36
False,False,75.2,150621,68.36
False,False,75.2,150622,68.36
False,False,75.2,150623,68.36
False,False,75.2,150624,68.36
False,False,75.2,150625,68.36
False,False,75.02,150626,68.36
False,False,74.84,150627,68.36
False,False,74.84,150628,68.36
False,False,74.84,150629,68.36
False,False,74.84,150630,67.46
False,False,75.02,150631,67.46
False,False,75.02,150632,67.46
False,False,75.02,150633,67.46
False,False,75.02,150634,67.46
False,False,75.02,150635,67.46
False,False,75.2,150636,67.46
False,False,75.2,150637,67.46
False,False,75.2,150638,67.46
False,False,75.2,150639,67.46
False,False,75.2,150640,67.46
False,False,75.2,150641,67.46
False,False,75.2,150642,67.46
False,False,75.2,150643,67.46
False,False,75.2,150644,67.46
False,False,75.2,150645,67.1
False,False,75.02,150646,67.1
False,False,75.02,150647,67.1
False,False,75.02,150648,67.1
False,False,75.02,150649,67.1
False,False,75.02,150650,67.1
False,False,75.02,150651,67.1
False,False,75.02,150652,67.1
False,False,75.2,150653,67.1
False,False,75.2,150654,67.1
False,False,75.2,150655,67.1
False,False,75.2,150656,67.1
False,False,75.2,150657,67.1
False,False,75.2,150658,67.1
False,False,75.2,150659,67.1
False,False,75.2,150660,66.74000000000001
False,False,75.2,150661,66.74000000000001
False,False,75.2,150662,66.74000000000001
False,False,75.2,150663,66.74000000000001
False,False,75.2,150664,66.74000000000001
False,False,75.2,150665,66.74000000000001
False,False,75.38,150666,66.74000000000001
False,False,75.38,150667,66.74000000000001
False,False,75.38,150668,66.74000000000001
False,False,75.38,150669,66.74000000000001
False,False,75.38,150670,66.74000000000001
False,False,75.38,150671,66.74000000000001
False,False,75.38,150672,66.74000000000001
False,False,75.38,150673,66.74000000000001
False,False,75.38,150674,66.74000000000001
False,False,75.38,150675,66.02
False,False,75.38,150676,66.02
False,False,75.56,150677,66.02
False,False,75.56,150678,66.02
False,False,75.74000000000001,150679,66.02
False,False,75.56,150680,66.02
False,False,75.56,150681,66.02
False,False,75.56,150682,66.02
False,False,75.56,150683,66.02
False,False,75.56,150684,66.02
False,False,75.56,150685,66.02
False,False,75.56,150686,66.02
False,False,75.56,150687,66.02
False,False,75.56,150688,66.02
False,False,75.56,150689,66.02
False,False,75.56,150690,65.84
False,False,75.56,150691,65.84
False,False,75.56,150692,65.84
False,False,75.56,150693,65.84
False,False,75.74000000000001,150694,65.84
False,False,75.74000000000001,150695,65.84
False,False,75.74000000000001,150696,65.84
False,False,75.74000000000001,150697,65.84
False,False,75.74000000000001,150698,65.84
False,False,75.74000000000001,150699,65.84
False,False,75.74000000000001,150700,65.84
False,False,75.74000000000001,150701,65.84
False,False,75.74000000000001,150702,65.84
False,False,75.74000000000001,150703,65.84
False,False,75.74000000000001,150704,65.84
False,False,75.74000000000001,150705,65.84
False,False,75.92,150706,65.84
False,False,75.92,150707,65.84
False,False,75.92,150708,65.84
False,False,75.92,150709,65.84
False,False,75.92,150710,65.84
False,False,75.92,150711,65.84
False,False,75.92,150712,65.84
False,False,75.92,150713,65.84
False,False,75.92,150714,65.84
False,False,75.92,150715,65.84
False,False,75.92,150716,65.84
False,False,75.92,150717,65.84
False,False,75.92,150718,65.84
False,False,75.92,150719,65.84
False,False,75.92,150720,65.3
False,False,75.92,150721,65.3
False,False,76.1,150722,65.3
False,False,76.1,150723,65.3
False,False,76.1,150724,65.3
False,False,76.1,150725,65.3
False,False,76.1,150726,65.3
False,False,76.1,150727,65.3
False,False,76.1,150728,65.3
False,False,76.1,150729,65.3
False,False,76.1,150730,65.3
False,False,76.1,150731,65.3
False,False,76.1,150732,65.3
